Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
ARM,Armenia,24663,Government spending on travel and Tourism service,% share of total tourism expenditure,2,2,2.9,3.1,3.5,3.6,3.6108,3.62163,3.6325,3.6434,3.65432,3.66529,3.67628,3.68731,3.69838,3.70947,3.7206,3.73176,3.74295,3.75418,3.76545,3.77674,3.78808,3.79944,3.81084,3.82227,3.83374,3.84524,3.85678,3.86835,3.87995,3.89159,3.90326,3.91498
ARM,Armenia,24674,Capital investment in Travel and Tourism,US$ in bn (Real prices),0,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.03,0.05,0.07,0.06,0.07,0.07,0.07,0.08,0.08,0.09,0.101788,0.10894,0.115656,0.122272,0.127961,0.133467,0.139146,0.144991,0.151262,0.157069,0.162877,0.16926,0.175898
ARM,Armenia,24693,Travel and Tourism total contribution to GDP,Percentage share of total GDP,3.51315,2.8165,3.48755,4.3373,3.91004,4.26577,5.54984,5.77778,6.47156,8.88519,7.35483,8.87689,7.81774,7.54842,10.005,10.9843,10.5523,12.0522,12.1686,12.8208,13.9685,14.6372,15.7483,16.2372,16.3377,16.3428,16.4122,16.3833,16.3819,16.3712,16.2904,16.2249,16.1746,16.1259
ARM,Armenia,24695,Travel and Tourism total contribution to GDP,US$ in bn (Real prices),0.104253,0.09,0.113239,0.151168,0.140713,0.162565,0.231712,0.277535,0.354507,0.537674,0.506778,0.692381,0.693608,0.716242,0.815006,0.914605,0.919492,1.12544,1.17333,1.28124,1.43803,1.50777,1.71969,1.85778,1.95441,2.03887,2.1352,2.22215,2.31591,2.41313,2.50368,2.60001,2.70255,2.80938
ATG,Antigua and Barbuda,24661,Government spending on travel and Tourism service,US$ in bn (Real prices),0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
ATG,Antigua and Barbuda,24663,Government spending on travel and Tourism service,% share of total tourism expenditure,31.5751,29.923,28.8598,28.1944,27.0395,27.0558,27.2089,27.4713,27.5489,27.6834,27.7969,27.8971,27.9979,28.0998,28.2024,28.3058,28.4095,28.5139,28.6184,28.7232,28.8286,28.9343,29.0405,29.147,29.2539,29.3613,29.469,29.577,29.6855,29.7944,29.9037,30.0134,30.1235,30.234
ATG,Antigua and Barbuda,24674,Capital investment in Travel and Tourism,US$ in bn (Real prices),0.08,0.119957,0.154789,0.113894,0.08,0.04,0.04,0.05,0.05,0.06,0.08,0.142325,0.202357,0.259668,0.239728,0.168095,0.108247,0.12159,0.124048,0.132849,0.134858,0.158472,0.160555,0.170218,0.181028,0.189887,0.200161,0.210913,0.222442,0.234759,0.247457,0.260378,0.273928,0.287461
ATG,Antigua and Barbuda,24693,Travel and Tourism total contribution to GDP,Percentage share of total GDP,73.9959,79.5108,83.3557,74.3857,68.0657,59.9663,61.2451,62.8946,61.331,64.4201,57.9973,58.6539,59.1123,65.8025,71.313,65.651,62.1312,60.7736,59.5136,58.1208,56.1966,53.7729,51.8374,52.418,54.257,54.9565,55.584,56.2367,57.2545,58.3662,59.5295,60.8772,62.3655,63.8886
ATG,Antigua and Barbuda,24695,Travel and Tourism total contribution to GDP,US$ in bn (Real prices),0.613565,0.702839,0.777139,0.726323,0.689256,0.647896,0.627471,0.651391,0.674263,0.749412,0.717602,0.818525,0.901532,1.00352,0.955686,0.816698,0.756417,0.765236,0.748874,0.770401,0.777371,0.804791,0.774706,0.806101,0.859414,0.896607,0.932723,0.971534,1.01794,1.06775,1.12024,1.17813,1.23895,1.30266
AUS,Australia,24661,Government spending on travel and Tourism service,US$ in bn (Real prices),0.504112,0.474329,0.665677,0.783804,0.878785,1.09789,0.709976,0.560875,1.06418,1.31953,1.32682,1.37766,1.43361,1.47145,1.55821,1.5687,1.58112,1.68107,1.7543,1.84778,1.9694,2.0591,2.10604,2.20969,2.29413,2.36939,2.44349,2.5199,2.5987,2.67997,2.76378,2.85022,2.93935,3.03127
AUS,Australia,24663,Government spending on travel and Tourism service,% share of total tourism expenditure,0.729957,0.652022,0.883755,0.945044,1.02083,1.2199,0.774927,0.592458,1.07134,1.25932,1.2542,1.26897,1.27469,1.26469,1.2589,1.26557,1.21813,1.23972,1.26961,1.30166,1.31133,1.31329,1.33366,1.34385,1.34551,1.35092,1.35699,1.36342,1.37009,1.37699,1.38451,1.3927,1.40158,1.41116
AUS,Australia,24674,Capital investment in Travel and Tourism,US$ in bn (Real prices),8.04481,8.50013,9.06777,9.21096,11.8557,9.73573,9.67987,15.5525,16.2607,10.959,29.094,20.3065,12.5796,15.0084,14.9654,21.0832,16.8016,16.8113,16.9575,15.2794,15.8433,17.6543,17.995,18.2195,18.1226,18.205,18.6501,19.5174,20.3196,20.9455,21.4797,21.9771,22.4476,22.9229
AUS,Australia,24693,Travel and Tourism total contribution to GDP,Percentage share of total GDP,14.1551,14.238,14.1976,14.0007,14.3035,14.4902,14.0276,13.9015,13.4527,12.3271,14.3693,12.9553,11.7103,10.7763,11.3263,11.3359,10.7153,10.5902,10.6192,10.5151,10.8593,10.9884,11.0011,11.0774,11.0758,11.0429,10.9836,10.9348,10.9501,10.9595,10.973,10.9969,11.0277,11.0603
AUS,Australia,24695,Travel and Tourism total contribution to GDP,US$ in bn (Real prices),97.736,102.343,106.704,110.199,117.513,122.717,121.862,125.825,125.012,119.348,143.229,132.749,125.154,118.271,126.593,129.729,125.987,129.357,132.518,134.642,142.498,147.988,151.429,156.207,159.898,163.458,167.696,172.177,177.093,181.696,186.36,191.139,196.085,201.187
AUT,Austria,24661,Government spending on travel and Tourism service,US$ in bn (Real prices),0.13708,0.05,0.174242,0.230607,0.236939,0.336739,0.103739,0,0.275639,0.403237,0.419614,0.425515,0.436522,0.450696,0.46522,0.470525,0.470716,0.472882,0.47399,0.475409,0.481643,0.491648,0.496694,0.503808,0.510152,0.516358,0.531584,0.546078,0.560018,0.573553,0.586958,0.600233,0.613206,0.625594
AUT,Austria,24663,Government spending on travel and Tourism service,% share of total tourism expenditure,0.406501,0.146841,0.500481,0.631598,0.623986,0.875186,0.267391,0.01,0.674428,0.979083,1.01054,0.986963,0.982632,0.975998,0.987805,0.991241,0.979684,0.973462,0.967777,0.962443,0.962599,0.952494,0.952498,0.952498,0.952498,0.952498,0.968619,0.982695,0.995091,1.00609,1.01592,1.02475,1.03273,1.03998
