T16,Exchange rates,,,,,,,
Region/Country/Area,,Year,Series,National currency,National currency footnote,Value,Footnotes,Source
12,Algeria,2018,Exchange rates: period average (national currency per US dollar),Algerian Dinar (DZD),,116.5938,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
20,Andorra,2005,Exchange rates: end of period (national currency per US dollar),Euro (EUR),,0.8477,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
20,Andorra,2010,Exchange rates: end of period (national currency per US dollar),Euro (EUR),,0.7484,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
20,Andorra,2015,Exchange rates: end of period (national currency per US dollar),Euro (EUR),,0.9185,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
20,Andorra,2016,Exchange rates: end of period (national currency per US dollar),Euro (EUR),,0.9487,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
20,Andorra,2017,Exchange rates: end of period (national currency per US dollar),Euro (EUR),,0.8338,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
20,Andorra,2018,Exchange rates: end of period (national currency per US dollar),Euro (EUR),,0.8734,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
20,Andorra,2005,Exchange rates: period average (national currency per US dollar),Euro (EUR),,0.8038,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
20,Andorra,2010,Exchange rates: period average (national currency per US dollar),Euro (EUR),,0.7543,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
20,Andorra,2015,Exchange rates: period average (national currency per US dollar),Euro (EUR),,0.9013,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
