T22,"Total imports, exports and balance of trade",,,,,,,
Region/Country/Area,,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
202,Sub-Saharan Africa,2010,Exports FOB (millions of US dollars),,,330959.4652,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
202,Sub-Saharan Africa,2015,Exports FOB (millions of US dollars),,,288804.3035,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
202,Sub-Saharan Africa,2016,Exports FOB (millions of US dollars),,,247233.9474,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
202,Sub-Saharan Africa,2017,Exports FOB (millions of US dollars),,,287726.6393,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
202,Sub-Saharan Africa,2018,Exports FOB (millions of US dollars),,,322926.4170,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
202,Sub-Saharan Africa,1995,Balance imports/exports (millions of US dollars),,,1126.7209,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
202,Sub-Saharan Africa,2005,Balance imports/exports (millions of US dollars),,,33895.1302,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
202,Sub-Saharan Africa,2010,Balance imports/exports (millions of US dollars),,,43808.8093,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
202,Sub-Saharan Africa,2015,Balance imports/exports (millions of US dollars),,,-47641.5420,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
202,Sub-Saharan Africa,2016,Balance imports/exports (millions of US dollars),,,-44641.4317,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
202,Sub-Saharan Africa,2017,Balance imports/exports (millions of US dollars),,,-20092.8013,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
202,Sub-Saharan Africa,2018,Balance imports/exports (millions of US dollars),,,-2799.9107,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
14,Eastern Africa,1995,Imports CIF (millions of US dollars),,,17980.4753,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
14,Eastern Africa,2005,Imports CIF (millions of US dollars),,,31242.6752,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
14,Eastern Africa,2010,Imports CIF (millions of US dollars),,,62688.1905,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
14,Eastern Africa,2015,Imports CIF (millions of US dollars),,,102677.1078,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
14,Eastern Africa,2016,Imports CIF (millions of US dollars),,,83570.5082,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
14,Eastern Africa,2017,Imports CIF (millions of US dollars),,,87426.7453,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
14,Eastern Africa,2018,Imports CIF (millions of US dollars),,,87923.3780,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
14,Eastern Africa,1995,Exports FOB (millions of US dollars),,,9499.3767,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
14,Eastern Africa,2005,Exports FOB (millions of US dollars),,,16297.2099,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
14,Eastern Africa,2010,Exports FOB (millions of US dollars),,,31651.8672,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
14,Eastern Africa,2015,Exports FOB (millions of US dollars),,,42956.6042,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
14,Eastern Africa,2016,Exports FOB (millions of US dollars),,,37506.8129,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
14,Eastern Africa,2017,Exports FOB (millions of US dollars),,,40942.1479,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
14,Eastern Africa,2018,Exports FOB (millions of US dollars),,,44536.6955,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
14,Eastern Africa,1995,Balance imports/exports (millions of US dollars),,,-8481.0986,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
14,Eastern Africa,2005,Balance imports/exports (millions of US dollars),,,-14945.4653,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
14,Eastern Africa,2010,Balance imports/exports (millions of US dollars),,,-31036.3233,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
14,Eastern Africa,2015,Balance imports/exports (millions of US dollars),,,-59720.5037,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
14,Eastern Africa,2016,Balance imports/exports (millions of US dollars),,,-46063.6953,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
14,Eastern Africa,2017,Balance imports/exports (millions of US dollars),,,-46484.5973,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
14,Eastern Africa,2018,Balance imports/exports (millions of US dollars),,,-43386.6825,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
17,Middle Africa,1995,Imports CIF (millions of US dollars),,,5412.0206,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
17,Middle Africa,2005,Imports CIF (millions of US dollars),,,18679.8527,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
