T23,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
28,Antigua and Barbuda,2010,Major trading partner 2 (% of exports),United Kingdom,,19.6637,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
28,Antigua and Barbuda,2018,Major trading partner 2 (% of exports),United Kingdom,,20.8681,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
28,Antigua and Barbuda,2005,Major trading partner 2 (% of imports),Areas nes,Areas not elsewhere specified.,0.0558,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
28,Antigua and Barbuda,2010,Major trading partner 2 (% of imports),Areas nes,Areas not elsewhere specified.,0.0948,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
28,Antigua and Barbuda,2018,Major trading partner 2 (% of imports),Areas nes,Areas not elsewhere specified.,16.2141,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
28,Antigua and Barbuda,2005,Major trading partner 3 (% of exports),Bermuda,,0.0206,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
28,Antigua and Barbuda,2018,Major trading partner 3 (% of exports),Bermuda,,13.8941,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
28,Antigua and Barbuda,2005,Major trading partner 3 (% of imports),United Kingdom,,6.8302,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
28,Antigua and Barbuda,2010,Major trading partner 3 (% of imports),United Kingdom,,4.6532,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
28,Antigua and Barbuda,2018,Major trading partner 3 (% of imports),United Kingdom,,5.4745,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
32,Argentina,2005,Major trading partner 1 (% of exports),Brazil,,15.7790,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
32,Argentina,2010,Major trading partner 1 (% of exports),Brazil,,21.1707,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
32,Argentina,2018,Major trading partner 1 (% of exports),Brazil,,15.9416,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
32,Argentina,2005,Major trading partner 1 (% of imports),Brazil,,37.0455,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
32,Argentina,2010,Major trading partner 1 (% of imports),Brazil,,32.5024,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
32,Argentina,2018,Major trading partner 1 (% of imports),Brazil,,26.7122,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
